id,en,ru
building_new.floor_1.room_1323/1_n,1323/1,1323/1
building_new.floor_1.room_1323_n,1323,1323
building_new.floor_1.room_1322_n,1322,1322
building_new.floor_1.room_1321_n,1321,1321
building_new.floor_1.room_1324_n,1324,1324
building_new.floor_1.room_1325_n,1325,1325
building_new.floor_1.stair_0,0,0
building_new.floor_1.room_1326_n,1326,1326
building_new.floor_1.elevator_0,0,0
building_new.floor_1.toilet_0,0,0
building_new.floor_1.room_1327_n,1327,1327
building_new.floor_1.room_1329_n,1329,1329
building_new.floor_1.room_1331_n,1331,1331
building_new.floor_1.room_1311_n,1311,1311
building_new.floor_1.room_1310_n,1310,1310
building_new.floor_1.room_1332_n,1332,1332
building_new.floor_1.disabledToilet_0,0,0
building_new.floor_1.room_1333_n,1333,1333
building_new.floor_1.room_1334_n,1334,1334
building_new.floor_1.room_1335_n,1335,1335
building_new.floor_1.room_1336_n,1336,1336
building_new.floor_1.elevator_1,1,1
building_new.floor_1.toilet_1,1,1
building_new.floor_1.room_1355_n,1355,1355
building_new.floor_1.room_1354_n,1354,1354
building_new.floor_1.stair_1,1,1
building_new.floor_1.elevator_2,2,2
building_new.floor_1.room_1266_n,1266,1266
building_new.floor_1.room_1265_n,1265,1265
building_new.floor_1.room_1264_n,1264,1264
building_new.floor_1.diner_0,0,0
building_new.floor_1.room_1353_n,1353,1353
building_new.floor_1.room_1267_n,1267,1267
building_new.floor_1.room_1268_n,1268,1268
building_new.floor_1.room_1269_n,1269,1269
building_new.floor_1.room_1270_n,1270,1270
building_new.floor_1.stair_2,2,2
building_new.floor_1.room_1262_n,1262,1262
building_new.floor_1.room_1261_n,1261,1261
building_new.floor_1.room_1272_n,1272,1272
building_new.floor_1.room_1273_n,1273,1273
building_new.floor_1.room_1274_n,1274,1274
building_new.floor_1.room_1260_n,1260,1260
building_new.floor_1.stair_3,3,3
building_new.floor_1.room_1276_n,1276,1276
building_new.floor_1.room_1280_n,1280,1280
building_new.floor_1.room_1277_n,1277,1277
building_new.floor_1.room_1258_n,1258,1258
building_new.floor_1.room_1257_n,1257,1257
building_new.floor_1.room_1256_n,1256,1256
building_new.floor_1.toilet_2,2,2
building_new.floor_1.room_1281_n,1281,1281
building_new.floor_1.room_1282_n,1282,1282
building_new.floor_1.disabledToilet_1,1,1
building_new.floor_1.room_1247_n,1247,1247
building_new.floor_1.room_1246_n,1246,1246
building_new.floor_1.room_1245_n,1245,1245
building_new.floor_1.room_1244_n,1244,1244
building_new.floor_1.room_1243_n,1243,1243
building_new.floor_1.room_1283_n,1283,1283
building_new.floor_1.stair_4,4,4
building_new.floor_1.elevator_3,3,3
building_new.floor_1.room_1238_n,1238,1238
building_new.floor_1.room_1205_n,1205,1205
building_new.floor_1.room_1206_n,1206,1206
building_new.floor_1.room_1207_n,1207,1207
building_new.floor_1.room_1237_n,1237,1237
building_new.floor_1.toilet_3,3,3
