id,en,ru
building_new.floor_2.room_redHall_n,red hall,красный холл
building_old.floor_2.room_216b_m,216b,216б
building_old.floor_2.room_217a_m,217a,217а
building_old.floor_2.room_215a_m,215a,215а
building_old.floor_2.room_213a_m,213a,213а
building_old.floor_2.room_211a_m,211a,211а
building_old.floor_2.room_202a_l,202a,202а
building_old.floor_2.room_222b_l,222b,222б
building_old.floor_2.room_201a_p,201a,201а
building_old.floor_2.room_202a_p,202a,202а
building_old.floor_2.room_203a_p,203a,203а
building_old.floor_2.room_204a_p,204a,204а
building_old.floor_2.room_209a_p,209a,209а
building_old.floor_2.room_211a_p,211a,211а
building_old.floor_2.room_213a_p,213a,213а
building_old.floor_2.room_215a_p,215a,215а
building_old.floor_2.room_217a_p,217a,217а
building_old.floor_2.room_218a_p,218a,218а
building_old.floor_2.room_219a_p,219a,219а
building_old.floor_2.room_234a_p,234a,234а
building_old.floor_2.room_233a_p,233a,233а
building_old.floor_2.room_232a_p,232a,232а
building_old.floor_2.room_220a_p,220a,220а
building_old.floor_2.room_221a_p,221a,221а
building_old.floor_2.room_222a_p,222a,222а
building_old.floor_2.room_223a_p,223a,223а
building_old.floor_2.room_224a_p,224a,224а
building_old.floor_2.room_225a_p,225a,225а
building_old.floor_2.room_231a_p,231a,231а
building_old.floor_2.room_226a_p,226a,226а
building_old.floor_2.room_227a_p,227a,227а
building_old.floor_2.room_228a_p,228a,228а
building_old.floor_2.room_229a_p,229a,229а
building_old.floor_2.room_230a_p,230a,230а
building_old.floor_3.room_302b_m,302b,302б
building_old.floor_3.room_302a_m,302a,302а
building_old.floor_3.room_301a_m,301a,301а
building_old.floor_3.room_317a_m,317a,317а
building_old.floor_3.room_321a_m,321a,321а
building_old.floor_3.room_307a_m,307a,307а
building_old.floor_3.room_323a_l,323a,323а
building_old.floor_3.room_306a_p,306a,306а
building_old.floor_3.room_301a_p,301a,301а
building_old.floor_3.room_301k_p,301k,301к
building_old.floor_4.room_416a_m,416a,416а
building_old.floor_4.room_424a_l,424a,424а
building_old.floor_1.room_107a_p,107a,107а
building_old.floor_1.room_106a_p,106a,106а
building_old.floor_1.room_105a_p,105a,105а
building_old.floor_1.room_104a_p,104a,104а
building_old.floor_1.room_103a_p,103a,103а
building_old.floor_1.room_108a_p,108a,108а
building_old.floor_1.room_110a_p,110a,110а
building_old.floor_1.room_112a_p,112a,112а
building_old.floor_1.room_113a_p,113a,113а
building_old.floor_1.room_101a_p,101a,101а
building_old.floor_1.room_114a_p,114a,114а
building_old.floor_1.room_115a_p,115a,115а
building_old.floor_1.room_117a_p,117a,117а
building_old.floor_1.room_118a_p,118a,118а
building_old.floor_1.room_119a_p,119a,119а
building_old.floor_1.room_100b_p,100b,100б
building_old.floor_1.room_120a_p,120a,120а
building_old.floor_1.room_121a_p,121a,121а
building_old.floor_1.room_100a_p,100a,100а
building_old.floor_1.room_122a_p,122a,122а
building_old.floor_1.room_122b_p,122b,122б
building_old.floor_1.room_123a_p,123a,123а
building_old.floor_1.room_124a_p,124a,124а
building_old.floor_1.room_125a_p,125a,125а
building_old.floor_1.room_125a_m,125a,125а
building_old.floor_5.room_530a_l,530a,530а
building_old.floor_5.room_510a_l,510a,510а
